"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00346","","","","10","5","1","1","4","2","2","4","2","4","0.8","0.13","4.1","0.15","0.93","5.03","6","0.4","0.0325","0.155","1.5","0.6","0.5","0.2","0.2325","0.093","1.025","0.41","33.33333333","18.48906561","40","2.666666667","3.1","13.66666667","16.76666667","6.666666667","7.75","34.16666667","41.91666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00658","","","","10","10","2","1","4","2","2","8","9","5","2","0.2","3.59","11.03","2.2","5.79","14","0.222222222","0.04","0.157142857","1.75","1.4","1.125","0.9","0.275","0.22","0.44875","0.359","64.28571429","37.99654577","80","6.666666667","7.333333333","11.96666667","19.3","8.333333333","9.166666667","14.95833333","24.125"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01788","","","","10","2","2","2","6","2","2","2","0","0","0","0","0.53","","0","0.53","0","","","","0","0","0","0","0","0","0.265","0.053","","0","20","0","0","1.766666667","1.766666667","0","0","8.833333333","8.833333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00547","","","","10","3","1","1","4","2","1","3","5","2","0.12","0.04","1.08","12.39","0.16","1.24","7","0.024","0.02","0.022857143","2.333333333","0.7","1.666666667","0.5","0.053333333","0.016","0.36","0.108","71.42857143","12.90322581","30","0.4","0.533333333","3.6","4.133333333","1.333333333","1.777777778","12","13.77777778"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00142","","","","10","10","3","1","4","3","2","9","5","14","0.52","0.4","13.13","0","0.92","14.05","19","0.104","0.028571429","0.048421053","2.111111111","1.9","0.555555556","0.5","0.102222222","0.092","1.458888889","1.313","26.31578947","6.548042705","90","1.733333333","3.066666667","43.76666667","46.83333333","1.925925926","3.407407407","48.62962963","52.03703704"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00707","","","","10","8","2","1","6","1","2","8","2","1","0.3","0.08","0.1","0.69","0.38","0.48","3","0.15","0.08","0.126666667","0.375","0.3","0.25","0.2","0.0475","0.038","0.0125","0.01","66.66666667","79.16666667","80","1","1.266666667","0.333333333","1.6","1.25","1.583333333","0.416666667","2"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01686","","","","10","9","1","1","3","2","2","8","2","0","1.2","0","1.14","7.23","1.2","2.34","2","0.6","","0.6","0.25","0.2","0.25","0.2","0.15","0.12","0.1425","0.114","100","51.28205128","80","4","4","3.8","7.8","5","5","4.75","9.75"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-02006","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00377","","","","10","7","1","1","4","2","2","6","","6","2.4","0.12","9.12","1.74","2.52","11.64","","","0.02","","","","","","0.42","0.252","1.52","0.912","","21.64948454","60","8","8.4","30.4","38.8","13.33333333","14","50.66666667","64.66666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01372","","","","10","2","2","1","7","2","2","2","0","0","0","0","1","","0","1","0","","","","0","0","0","0","0","0","0.5","0.1","","0","20","0","0","3.333333333","3.333333333","0","0","16.66666667","16.66666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00343","","","","10","10","1","1","5","1","2","10","19","10","3.4","0.28","6.24","1.38","3.68","9.92","29","0.178947368","0.028","0.126896552","2.9","2.9","1.9","1.9","0.368","0.368","0.624","0.624","65.51724138","37.09677419","100","11.33333333","12.26666667","20.8","33.06666667","11.33333333","12.26666667","20.8","33.06666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01637","","","","10","4","2","1","5","3","2","","0","4","0","0.14","1","7.76","0.14","1.14","4","","0.035","0.035","","0.4","","0","","0.014","","0.1","0","12.28070175","","0","0.466666667","3.333333333","3.8","","","",""
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00434","","","","10","6","1","1","3","2","5","6","16","1","7.6","0.04","8.23","7.76","7.64","15.87","17","0.475","0.04","0.449411765","2.833333333","1.7","2.666666667","1.6","1.273333333","0.764","1.371666667","0.823","94.11764706","48.14114682","60","25.33333333","25.46666667","27.43333333","52.9","42.22222222","42.44444444","45.72222222","88.16666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00110","","","","10","6","1","1","3","2","2","4","3","1","0.62","0.06","0.3","11.03","0.68","0.98","4","0.206666667","0.06","0.17","1","0.4","0.75","0.3","0.17","0.068","0.075","0.03","75","69.3877551","40","2.066666667","2.266666667","1","3.266666667","5.166666667","5.666666667","2.5","8.166666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01555","","","","10","5","1","1","5","2","2","2","1","3","0.1","0.24","2.06","10.5","0.34","2.4","4","0.1","0.08","0.085","2","0.4","0.5","0.1","0.17","0.034","1.03","0.206","25","14.16666667","20","0.333333333","1.133333333","6.866666667","8","1.666666667","5.666666667","34.33333333","40"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00360","","","","10","7","2","1","4","3","1","7","6","5","1.2","0.12","8.09","3.76","1.32","9.41","11","0.2","0.024","0.12","1.571428571","1.1","0.857142857","0.6","0.188571429","0.132","1.155714286","0.809","54.54545455","14.02763018","70","4","4.4","26.96666667","31.36666667","5.714285714","6.285714286","38.52380952","44.80952381"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-02058","","","","10","6","1","1","5","2","2","6","6","2","0.8","0.04","1.1","12.39","0.84","1.94","8","0.133333333","0.02","0.105","1.333333333","0.8","1","0.6","0.14","0.084","0.183333333","0.11","75","43.29896907","60","2.666666667","2.8","3.666666667","6.466666667","4.444444444","4.666666667","6.111111111","10.77777778"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00970","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01247","","","","10","5","1","1","5","2","2","4","0","5","0","0.02","2.06","0","0.02","2.08","5","","0.004","0.004","1.25","0.5","0","0","0.005","0.002","0.515","0.206","0","0.961538462","40","0","0.066666667","6.866666667","6.933333333","0","0.166666667","17.16666667","17.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01418","","","","10","8","2","1","7","2","2","6","0","2","0","0.2","1.08","5.49","0.2","1.28","2","","0.1","0.1","0.333333333","0.2","0","0","0.033333333","0.02","0.18","0.108","0","15.625","60","0","0.666666667","3.6","4.266666667","0","1.111111111","6","7.111111111"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01761","","","","10","7","2","1","4","2","2","6","0","3","0","0.06","4.16","0.02","0.06","4.22","3","","0.02","0.02","0.5","0.3","0","0","0.01","0.006","0.693333333","0.416","0","1.421800948","60","0","0.2","13.86666667","14.06666667","0","0.333333333","23.11111111","23.44444444"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01653","","","","10","5","1","1","5","3","1","5","0","3","0","0.1","2.36","3.96","0.1","2.46","3","","0.033333333","0.033333333","0.6","0.3","0","0","0.02","0.01","0.472","0.236","0","4.06504065","50","0","0.333333333","7.866666667","8.2","0","0.666666667","15.73333333","16.4"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00261","","","","10","7","2","1","4","1","2","6","6","14","1.5","0.48","9.13","0.12","1.98","11.11","20","0.25","0.034285714","0.099","3.333333333","2","1","0.6","0.33","0.198","1.521666667","0.913","30","17.82178218","60","5","6.6","30.43333333","37.03333333","8.333333333","11","50.72222222","61.72222222"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00235","","","","10","8","2","1","4","2","1","8","11","9","1.2","0.28","4.18","0.15","1.48","5.66","20","0.109090909","0.031111111","0.074","2.5","2","1.375","1.1","0.185","0.148","0.5225","0.418","55","26.14840989","80","4","4.933333333","13.93333333","18.86666667","5","6.166666667","17.41666667","23.58333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01704","","","","10","8","3","2","2","2","2","3","3","2","0.44","0.1","2.13","0","0.54","2.67","5","0.146666667","0.05","0.108","1.666666667","0.5","1","0.3","0.18","0.054","0.71","0.213","60","20.2247191","30","1.466666667","1.8","7.1","8.9","4.888888889","6","23.66666667","29.66666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01235","","","","10","5","1","1","6","2","2","3","0","0","0","0","1.12","","0","1.12","0","","","","0","0","0","0","0","0","0.373333333","0.112","","0","30","0","0","3.733333333","3.733333333","0","0","12.44444444","12.44444444"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00719","","","","10","6","2","1","6","2","1","6","0","4","0","0.16","3.72","14.37","0.16","3.88","4","","0.04","0.04","0.666666667","0.4","0","0","0.026666667","0.016","0.62","0.372","0","4.12371134","60","0","0.533333333","12.4","12.93333333","0","0.888888889","20.66666667","21.55555556"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01007","","","","10","6","2","1","5","2","2","5","0","1","0","0.04","1.13","1.38","0.04","1.17","1","","0.04","0.04","0.2","0.1","0","0","0.008","0.004","0.226","0.113","0","3.418803419","50","0","0.133333333","3.766666667","3.9","0","0.266666667","7.533333333","7.8"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00418","","","","10","8","1","1","4","2","2","8","5","4","0.8","0.16","1.11","6.12","0.96","2.07","9","0.16","0.04","0.106666667","1.125","0.9","0.625","0.5","0.12","0.096","0.13875","0.111","55.55555556","46.37681159","80","2.666666667","3.2","3.7","6.9","3.333333333","4","4.625","8.625"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00402","","","","10","5","2","1","2","2","1","5","6","2","6.2","0.12","11.27","0.15","6.32","17.59","8","1.033333333","0.06","0.79","1.6","0.8","1.2","0.6","1.264","0.632","2.254","1.127","75","35.9295054","50","20.66666667","21.06666667","37.56666667","58.63333333","41.33333333","42.13333333","75.13333333","117.2666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01617","","","","10","4","2","2","3","2","2","4","12","9","3.3","0.36","6.15","14.37","3.66","9.81","21","0.275","0.04","0.174285714","5.25","2.1","3","1.2","0.915","0.366","1.5375","0.615","57.14285714","37.3088685","40","11","12.2","20.5","32.7","27.5","30.5","51.25","81.75"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00659","","","","10","9","2","1","3","2","2","9","3","0","1.6","0","1.7","5.49","1.6","3.3","3","0.533333333","","0.533333333","0.333333333","0.3","0.333333333","0.3","0.177777778","0.16","0.188888889","0.17","100","48.48484848","90","5.333333333","5.333333333","5.666666667","11","5.925925926","5.925925926","6.296296296","12.22222222"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00646","","","","10","6","3","1","3","2","1","6","1","5","0.2","0.24","5.19","0.15","0.44","5.63","6","0.2","0.048","0.073333333","1","0.6","0.166666667","0.1","0.073333333","0.044","0.865","0.519","16.66666667","7.815275311","60","0.666666667","1.466666667","17.3","18.76666667","1.111111111","2.444444444","28.83333333","31.27777778"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01497","","","","10","8","4","1","2","2","2","8","19","5","7.4","0.28","10.16","0","7.68","17.84","24","0.389473684","0.056","0.32","3","2.4","2.375","1.9","0.96","0.768","1.27","1.016","79.16666667","43.04932735","80","24.66666667","25.6","33.86666667","59.46666667","30.83333333","32","42.33333333","74.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01223","","","","10","4","3","2","3","1","2","4","1","2","0.4","0.12","7.07","0","0.52","7.59","3","0.4","0.06","0.173333333","0.75","0.3","0.25","0.1","0.13","0.052","1.7675","0.707","33.33333333","6.851119895","40","1.333333333","1.733333333","23.56666667","25.3","3.333333333","4.333333333","58.91666667","63.25"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00149","","","","10","10","2","1","5","2","1","7","2","4","0.56","0.3","7.71","0","0.86","8.57","6","0.28","0.075","0.143333333","0.857142857","0.6","0.285714286","0.2","0.122857143","0.086","1.101428571","0.771","33.33333333","10.03500583","70","1.866666667","2.866666667","25.7","28.56666667","2.666666667","4.095238095","36.71428571","40.80952381"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01246","","","","10","7","2","1","1","3","2","7","9","3","5.5","0.08","11.18","11.03","5.58","16.76","12","0.611111111","0.026666667","0.465","1.714285714","1.2","1.285714286","0.9","0.797142857","0.558","1.597142857","1.118","75","33.29355609","70","18.33333333","18.6","37.26666667","55.86666667","26.19047619","26.57142857","53.23809524","79.80952381"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00939","","","","10","3","3","1","2","3","3","3","6","0","5","0","17.23","1.5","5","22.23","6","0.833333333","","0.833333333","2","0.6","2","0.6","1.666666667","0.5","5.743333333","1.723","100","22.49212776","30","16.66666667","16.66666667","57.43333333","74.1","55.55555556","55.55555556","191.4444444","247"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00696","","","","10","3","1","1","5","2","2","3","3","3","0.32","0.01","1.23","1.65","0.33","1.56","6","0.106666667","0.003333333","0.055","2","0.6","1","0.3","0.11","0.033","0.41","0.123","50","21.15384615","30","1.066666667","1.1","4.1","5.2","3.555555556","3.666666667","13.66666667","17.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00231","","","","10","5","1","1","5","1","1","5","10","9","10","2","0.44","1.74","12","12.44","19","1","0.222222222","0.631578947","3.8","1.9","2","1","2.4","1.2","0.088","0.044","52.63157895","96.46302251","50","33.33333333","40","1.466666667","41.46666667","66.66666667","80","2.933333333","82.93333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00652","","","","10","2","1","1","4","2","2","2","23","3","10","0.12","22.17","3.03","10.12","32.29","26","0.434782609","0.04","0.389230769","13","2.6","11.5","2.3","5.06","1.012","11.085","2.217","88.46153846","31.34097244","20","33.33333333","33.73333333","73.9","107.6333333","166.6666667","168.6666667","369.5","538.1666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00822","","","","10","4","4","2","1","2","2","4","3","0","3","0","25.11","10.5","3","28.11","3","1","","1","0.75","0.3","0.75","0.3","0.75","0.3","6.2775","2.511","100","10.67235859","40","10","10","83.7","93.7","25","25","209.25","234.25"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-02037","","","","10","5","1","1","4","2","2","3","1","5","0.1","0.15","2.17","0","0.25","2.42","6","0.1","0.03","0.041666667","2","0.6","0.333333333","0.1","0.083333333","0.025","0.723333333","0.217","16.66666667","10.33057851","30","0.333333333","0.833333333","7.233333333","8.066666667","1.111111111","2.777777778","24.11111111","26.88888889"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01755","","","","10","5","2","1","2","2","2","5","8","11","2.6","0.28","4.08","3.96","2.88","6.96","19","0.325","0.025454545","0.151578947","3.8","1.9","1.6","0.8","0.576","0.288","0.816","0.408","42.10526316","41.37931034","50","8.666666667","9.6","13.6","23.2","17.33333333","19.2","27.2","46.4"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00032","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01967","","","","10","9","1","1","6","1","2","8","6","3","0.4","0.12","1.09","10.5","0.52","1.61","9","0.066666667","0.04","0.057777778","1.125","0.9","0.75","0.6","0.065","0.052","0.13625","0.109","66.66666667","32.29813665","80","1.333333333","1.733333333","3.633333333","5.366666667","1.666666667","2.166666667","4.541666667","6.708333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00398","","","","10","7","1","1","2","1","2","7","1","1","0.8","0.1","1.18","1.5","0.9","2.08","2","0.8","0.1","0.45","0.285714286","0.2","0.142857143","0.1","0.128571429","0.09","0.168571429","0.118","50","43.26923077","70","2.666666667","3","3.933333333","6.933333333","3.80952381","4.285714286","5.619047619","9.904761905"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00166","","","","10","10","2","1","2","1","3","10","13","14","4","0.28","6.44","10.5","4.28","10.72","27","0.307692308","0.02","0.158518519","2.7","2.7","1.3","1.3","0.428","0.428","0.644","0.644","48.14814815","39.92537313","100","13.33333333","14.26666667","21.46666667","35.73333333","13.33333333","14.26666667","21.46666667","35.73333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-02025","","","","10","8","3","2","2","1","2","8","14","9","3","0.1","5.17","7.76","3.1","8.27","23","0.214285714","0.011111111","0.134782609","2.875","2.3","1.75","1.4","0.3875","0.31","0.64625","0.517","60.86956522","37.48488513","80","10","10.33333333","17.23333333","27.56666667","12.5","12.91666667","21.54166667","34.45833333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01268","","","","10","5","1","1","8","2","2","3","0","2","0","0.06","1.1","0","0.06","1.16","2","","0.03","0.03","0.666666667","0.2","0","0","0.02","0.006","0.366666667","0.11","0","5.172413793","30","0","0.2","3.666666667","3.866666667","0","0.666666667","12.22222222","12.88888889"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-02064","","","","10","7","1","1","4","2","2","7","10","1","2.2","0.4","6.38","0","2.6","8.98","11","0.22","0.4","0.236363636","1.571428571","1.1","1.428571429","1","0.371428571","0.26","0.911428571","0.638","90.90909091","28.9532294","70","7.333333333","8.666666667","21.26666667","29.93333333","10.47619048","12.38095238","30.38095238","42.76190476"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01743","","","","10","6","","","","","","6","7","4","0.8","0.2","6.24","12.39","1","7.24","11","0.114285714","0.05","0.090909091","1.833333333","1.1","1.166666667","0.7","0.166666667","0.1","1.04","0.624","63.63636364","13.8121547","60","2.666666667","3.333333333","20.8","24.13333333","4.444444444","5.555555556","34.66666667","40.22222222"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00782","","","","10","7","2","1","6","2","2","7","0","0","0","0","1.09","","0","1.09","0","","","","0","0","0","0","0","0","0.155714286","0.109","","0","70","0","0","3.633333333","3.633333333","0","0","5.19047619","5.19047619"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-02007","","","","10","8","3","1","2","2","1","8","1","0","0.08","0","6.1","1.04","0.08","6.18","1","0.08","","0.08","0.125","0.1","0.125","0.1","0.01","0.008","0.7625","0.61","100","1.294498382","80","0.266666667","0.266666667","20.33333333","20.6","0.333333333","0.333333333","25.41666667","25.75"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00858","","","","10","5","3","1","1","2","2","5","10","2","0.15","0.06","13.26","6.12","0.21","13.47","12","0.015","0.03","0.0175","2.4","1.2","2","1","0.042","0.021","2.652","1.326","83.33333333","1.559020045","50","0.5","0.7","44.2","44.9","1","1.4","88.4","89.8"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00580","","","","10","7","1","1","4","2","1","7","8","7","1","0.1","4.12","1.5","1.1","5.22","15","0.125","0.014285714","0.073333333","2.142857143","1.5","1.142857143","0.8","0.157142857","0.11","0.588571429","0.412","53.33333333","21.07279693","70","3.333333333","3.666666667","13.73333333","17.4","4.761904762","5.238095238","19.61904762","24.85714286"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01664","","","","10","10","2","2","4","2","2","10","4","8","1.2","0.16","1.24","1.17","1.36","2.6","12","0.3","0.02","0.113333333","1.2","1.2","0.4","0.4","0.136","0.136","0.124","0.124","33.33333333","52.30769231","100","4","4.533333333","4.133333333","8.666666667","4","4.533333333","4.133333333","8.666666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00439","","","","10","9","2","1","3","1","2","6","12","4","1.8","0.22","3.08","1.65","2.02","5.1","16","0.15","0.055","0.12625","2.666666667","1.6","2","1.2","0.336666667","0.202","0.513333333","0.308","75","39.60784314","60","6","6.733333333","10.26666667","17","10","11.22222222","17.11111111","28.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00888","","","","10","4","2","1","3","2","2","4","3","2","2.6","0.08","4.15","0","2.68","6.83","5","0.866666667","0.04","0.536","1.25","0.5","0.75","0.3","0.67","0.268","1.0375","0.415","60","39.238653","40","8.666666667","8.933333333","13.83333333","22.76666667","21.66666667","22.33333333","34.58333333","56.91666667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00277","","","","10","4","2","1","3","2","2","4","15","4","6.5","0.16","9.12","1.74","6.66","15.78","19","0.433333333","0.04","0.350526316","4.75","1.9","3.75","1.5","1.665","0.666","2.28","0.912","78.94736842","42.20532319","40","21.66666667","22.2","30.4","52.6","54.16666667","55.5","76","131.5"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01308","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01764","","","","10","4","1","1","6","2","1","4","0","5","0","0.06","2.1","12.39","0.06","2.16","5","","0.012","0.012","1.25","0.5","0","0","0.015","0.006","0.525","0.21","0","2.777777778","40","0","0.2","7","7.2","0","0.5","17.5","18"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01358","","","","10","5","1","1","2","","2","5","8","7","5","0.19","9.18","0","5.19","14.37","15","0.625","0.027142857","0.346","3","1.5","1.6","0.8","1.038","0.519","1.836","0.918","53.33333333","36.11691023","50","16.66666667","17.3","30.6","47.9","33.33333333","34.6","61.2","95.8"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00108","","","","10","3","2","1","7","3","1","3","5","0","0.66","0","1.06","0.02","0.66","1.72","5","0.132","","0.132","1.666666667","0.5","1.666666667","0.5","0.22","0.066","0.353333333","0.106","100","38.37209302","30","2.2","2.2","3.533333333","5.733333333","7.333333333","7.333333333","11.77777778","19.11111111"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00251","","","","10","7","1","1","4","1","2","7","7","8","1","0.28","3.08","7.23","1.28","4.36","15","0.142857143","0.035","0.085333333","2.142857143","1.5","1","0.7","0.182857143","0.128","0.44","0.308","46.66666667","29.35779817","70","3.333333333","4.266666667","10.26666667","14.53333333","4.761904762","6.095238095","14.66666667","20.76190476"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00522","","","","10","8","2","1","3","2","1","8","14","7","3.5","0.2","5.68","1.65","3.7","9.38","21","0.25","0.028571429","0.176190476","2.625","2.1","1.75","1.4","0.4625","0.37","0.71","0.568","66.66666667","39.445629","80","11.66666667","12.33333333","18.93333333","31.26666667","14.58333333","15.41666667","23.66666667","39.08333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01491","","","","10","8","3","2","3","2","2","8","5","2","2.6","0.08","4.23","0.15","2.68","6.91","7","0.52","0.04","0.382857143","0.875","0.7","0.625","0.5","0.335","0.268","0.52875","0.423","71.42857143","38.78437048","80","8.666666667","8.933333333","14.1","23.03333333","10.83333333","11.16666667","17.625","28.79166667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01129","","","","10","8","1","1","2","2","2","8","8","10","3","0.2","6.29","0.12","3.2","9.49","18","0.375","0.02","0.177777778","2.25","1.8","1","0.8","0.4","0.32","0.78625","0.629","44.44444444","33.71970495","80","10","10.66666667","20.96666667","31.63333333","12.5","13.33333333","26.20833333","39.54166667"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01726","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00660","","","","10","5","3","2","3","","2","5","6","8","1.5","0.2","6.66","0.69","1.7","8.36","14","0.25","0.025","0.121428571","2.8","1.4","1.2","0.6","0.34","0.17","1.332","0.666","42.85714286","20.33492823","50","5","5.666666667","22.2","27.86666667","10","11.33333333","44.4","55.73333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00064","","","","10","3","1","1","6","1","2","3","0","0","0","0","5.7","","0","5.7","0","","","","0","0","0","0","0","0","1.9","0.57","","0","30","0","0","19","19","0","0","63.33333333","63.33333333"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-01484","","","","10","5","2","1","3","1","3","4","5","6","1.8","0.36","13.17","12.39","2.16","15.33","11","0.36","0.06","0.196363636","2.75","1.1","1.25","0.5","0.54","0.216","3.2925","1.317","45.45454545","14.09001957","40","6","7.2","43.9","51.1","15","18","109.75","127.75"
"","","UGP2018SER-OT01","","","","","","","","","UGP2018SER-OT01-00183","","","","10","8","1","1","4","2","2","8","19","6","3.2","0.2","1.9","3.76","3.4","5.3","25","0.168421053","0.033333333","0.136","3.125","2.5","2.375","1.9","0.425","0.34","0.2375","0.19","76","64.1509434","80","10.66666667","11.33333333","6.333333333","17.66666667","13.33333333","14.16666667","7.916666667","22.08333333"
