"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00096","","","","26","19","1","1","18","18","29","28","7","3.2","12.3","5","3","1","1","6","7","1","2.4","1.47","1.13","21.3075275","69.01","2.86","4.41","4.49","10.2","22.5","57","0.24137931","0.114285714","0.178947368","3.166666667","2.192307692","1.611111111","1.115384615","0.566666667","0.392307692","0.683333333","0.473076923","50.87719298","45.33333333","69.23076923","9.971509972","14.40329218","14.52991453","20.98765432","17.52136752","25.30864198","32.05128205","46.2962963"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00097","","","","26","6","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00098","","","","26","22","1","1","22","22","80","90","19","11","24.7","5","5","2","1","5","7","5","2.74","1.4","0.98","5.4524727","59.42","5.32","7.93","8.5","30","54.7","170","0.2375","0.122222222","0.176470588","7.727272727","6.538461538","3.636363636","3.076923077","1.363636364","1.153846154","1.122727273","0.95","47.05882353","54.84460695","84.61538462","27.06552707","31.98653199","42.73504274","50.50505051","35.18518519","41.58249158","77.92022792","92.08754209"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00099","","","","26","20","1","1","14","14","39","35","14","7","41","3","5","1","1","6","7","1","2.11","1.33","0.55","5.6929374","47.01","11.79","16.16","8.65","21","62","74","0.358974359","0.2","0.283783784","5.285714286","2.846153846","2.785714286","1.5","1.5","0.807692308","2.928571429","1.576923077","52.7027027","33.87096774","53.84615385","19.94301994","37.03703704","29.91452991","55.55555556","58.4045584","108.4656085","88.31908832","164.021164"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00100","","","","26","16","3","3","10","10","35","10","21","2.3","17","3","3","2","3","5","9","5","5.66","1.58","1.15","25.1088562","66.25","2.84","3.94","7.29","23.3","40.3","45","0.6","0.23","0.517777778","4.5","1.730769231","3.5","1.346153846","2.33","0.896153846","1.7","0.653846154","77.77777778","57.81637717","38.46153846","29.91452991","77.77777778","33.19088319","86.2962963","24.21652422","62.96296296","57.40740741","149.2592593"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00101","","","","26","19","1","1","14","14","65","19","21","3","16.1","3","5","2","1","5","5","5","1.96","1.81","0.92","47.2113953","40.07","10.61","14.54","18.13","24","40.1","84","0.323076923","0.157894737","0.285714286","6","3.230769231","4.642857143","2.5","1.714285714","0.923076923","1.15","0.619230769","77.38095238","59.85037406","53.84615385","29.91452991","55.55555556","34.18803419","63.49206349","22.93447293","42.59259259","57.12250712","106.0846561"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00102","","","","26","23","1","1","23","23","136","70","41","6.2","43.1","1","3","5","1","5","7","3","3.98","1.75","1.02","91.4496307","57.79","4.82","6.86","10.21","47.2","90.3","206","0.301470588","0.088571429","0.229126214","8.956521739","7.923076923","5.913043478","5.230769231","2.052173913","1.815384615","1.873913043","1.657692308","66.01941748","52.27021041","88.46153846","58.4045584","66.02254428","67.23646724","76.00644122","61.3960114","69.4041868","128.6324786","145.410628"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00103","","","","26","18","2","2","14","14","50","54","15","4","3.1","3","3","5","3","5","7","5","","","","","","","","","19","22.1","104","0.3","0.074074074","0.182692308","7.428571429","4","3.571428571","1.923076923","1.357142857","0.730769231","0.221428571","0.119230769","48.07692308","85.97285068","53.84615385","21.36752137","39.68253968","27.06552707","50.26455026","4.415954416","8.201058201","31.48148148","58.46560847"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00104","","","","26","10","1","1","6","6","15","9","8","0.4","7.2","5","5","1","1","7","8","1","","","","","","","","","8.4","15.6","24","0.533333333","0.044444444","0.35","4","0.923076923","2.5","0.576923077","1.4","0.323076923","1.2","0.276923077","62.5","53.84615385","23.07692308","11.3960114","49.38271605","11.96581197","51.85185185","10.25641026","44.44444444","22.22222222","96.2962963"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00105","","","","26","22","1","1","22","22","78","76","23","7","27.5","3","4","2","1","5","5","4","2.45","1.72","0.94","33.883358","50.36","12.3","17","0.72","30","57.5","154","0.294871795","0.092105263","0.194805195","7","5.923076923","3.545454545","3","1.363636364","1.153846154","1.25","1.057692308","50.64935065","52.17391304","84.61538462","32.76353276","38.72053872","42.73504274","50.50505051","39.17378917","46.2962963","81.90883191","96.8013468"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00106","","","","26","15","1","1","13","13","57","33","20","5","16.5","1","5","2","1","5","5","5","1.85","1.12","0.64","96.7172241","52.14","12.85","17.44","0.71","25","41.5","90","0.350877193","0.151515152","0.277777778","6.923076923","3.461538462","4.384615385","2.192307692","1.923076923","0.961538462","1.269230769","0.634615385","63.33333333","60.24096386","50","28.49002849","56.98005698","35.61253561","71.22507123","23.5042735","47.00854701","59.11680912","118.2336182"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00107","","","","26","22","1","1","16","16","64","26","13","7","11.3","3","4","3","1","9","7","1","2.7","1.55","0.78","31.3867626","52.06","6.92","9.49","14.93","20","31.3","90","0.203125","0.269230769","0.222222222","5.625","3.461538462","4","2.461538462","1.25","0.769230769","0.70625","0.434615385","71.11111111","63.89776358","61.53846154","18.51851852","30.09259259","28.49002849","46.2962963","16.0968661","26.15740741","44.58689459","72.4537037"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00108","","","","26","9","2","2","8","8","20","4","13","0.4","14.1","5","5","1","1","5","7","1","","","","","","","","","13.4","27.5","24","0.65","0.1","0.558333333","3","0.923076923","2.5","0.769230769","1.675","0.515384615","1.7625","0.542307692","83.33333333","48.72727273","30.76923077","18.51851852","60.18518519","19.08831909","62.03703704","20.08547009","65.27777778","39.17378917","127.3148148"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00109","","","","26","20","1","1","20","20","60","70","17","7","20.2","3","7","1","1","9","5","1","2.54","1.51","0.73","87.9580154","46.99","13","18.21","3.95","24","44.2","130","0.283333333","0.1","0.184615385","6.5","5","3","2.307692308","1.2","0.923076923","1.01","0.776923077","46.15384615","54.29864253","76.92307692","24.21652422","31.48148148","34.18803419","44.44444444","28.77492877","37.40740741","62.96296296","81.85185185"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00110","","","","26","17","1","1","14","14","33","26","10","2.9","21.2","3","3","2","1","7","5","3","2.81","1.69","0.92","38.2579002","53.77","7.84","10.88","8.67","12.9","34.1","59","0.303030303","0.111538462","0.218644068","4.214285714","2.269230769","2.357142857","1.269230769","0.921428571","0.496153846","1.514285714","0.815384615","55.93220339","37.82991202","53.84615385","14.24501425","26.45502646","18.37606838","34.12698413","30.1994302","56.08465608","48.57549858","90.21164021"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00111","","","","26","10","2","1","7","7","11","14","4.1","2","6.1","3","3","4","3","3","7","6","2.37","1.45","0.74","9.5073099","55.82","8.57","11.68","7.41","6.1","12.2","25","0.372727273","0.142857143","0.244","3.571428571","0.961538462","1.571428571","0.423076923","0.871428571","0.234615385","0.871428571","0.234615385","44","50","26.92307692","5.84045584","21.69312169","8.689458689","32.27513228","8.689458689","32.27513228","17.37891738","64.55026455"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00112","","","","26","18","1","1","13","11","15","8","4","0.6","14.1","5","5","1","1","5","8","3","2.58","1.5","1.02","33.9596863","56.2","8.25","11.47","7.36","4.6","18.7","23","0.266666667","0.075","0.2","1.769230769","0.884615385","1.153846154","0.576923077","0.353846154","0.176923077","1.084615385","0.542307692","65.2173913","24.59893048","50","5.698005698","11.3960114","6.552706553","13.10541311","20.08547009","40.17094017","26.63817664","53.27635328"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00113","","","","26","24","1","1","12","12","32","60","15.4","8","20.1","5","5","4","1","9","5","1","2.09","1.15","0.37","15.9649706","53.61","13.69","18.29","1.43","23.4","43.5","92","0.48125","0.133333333","0.254347826","7.666666667","3.538461538","2.666666667","1.230769231","1.95","0.9","1.675","0.773076923","34.7826087","53.79310345","46.15384615","21.93732194","47.5308642","33.33333333","72.22222222","28.63247863","62.03703704","61.96581197","134.2592593"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00114","","","","26","20","2","1","13","12","65","19","11","3","27","3","5","3","1","2","7","6","2.43","1.62","0.9","40.1939812","51.88","6.77","8.95","12.22","14","41","84","0.169230769","0.157894737","0.166666667","6.461538462","3.230769231","5","2.5","1.076923077","0.538461538","2.076923077","1.038461538","77.38095238","34.14634146","50","15.66951567","31.33903134","19.94301994","39.88603989","38.46153846","76.92307692","58.4045584","116.8091168"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00115","","","","26","14","1","1","11","11","47","15","15","1.9","8.2","1","3","2","1","9","7","1","2.49","1.41","0.97","16.5803165","60.92","8.3","11.57","2.59","16.9","25.1","62","0.319148936","0.126666667","0.272580645","5.636363636","2.384615385","4.272727273","1.807692308","1.536363636","0.65","0.745454545","0.315384615","75.80645161","67.33067729","42.30769231","21.36752137","50.50505051","24.07407407","56.9023569","11.68091168","27.60942761","35.75498575","84.51178451"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00116","","","","26","16","1","1","15","15","50","0","21","0","10.2","3","3","1","1","5","9","1","2.12","1.06","0.7","62.9859886","64.88","7.32","9.9","4.56","21","31.2","50","0.42","","0.42","3.333333333","1.923076923","3.333333333","1.923076923","1.4","0.807692308","0.68","0.392307692","100","67.30769231","57.69230769","29.91452991","51.85185185","29.91452991","51.85185185","14.52991453","25.18518519","44.44444444","77.03703704"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00117","","","","26","24","1","1","15","15","39","36","8","3.4","11.2","5","3","2","1","9","7","1","1.92","1.69","1","34.2480774","35.94","14.9","20.37","10.99","11.4","22.6","75","0.205128205","0.094444444","0.152","5","2.884615385","2.6","1.5","0.76","0.438461538","0.746666667","0.430769231","52","50.44247788","57.69230769","11.3960114","19.75308642","16.23931624","28.14814815","15.95441595","27.65432099","32.19373219","55.80246914"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00118","","","","26","23","1","1","16","16","43","24","16","3","27","1","3","2","3","3","9","5","2.07","1.13","1","12.4973459","65.44","4.57","6.46","6.68","19","46","67","0.372093023","0.125","0.28358209","4.1875","2.576923077","2.6875","1.653846154","1.1875","0.730769231","1.6875","1.038461538","64.17910448","41.30434783","61.53846154","22.79202279","37.03703704","27.06552707","43.98148148","38.46153846","62.5","65.52706553","106.4814815"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00119","","","","26","21","1","1","13","13","34","23","12","3.3","17","5","5","1","1","7","5","3","2.17","1.62","0.91","25.6695766","49.87","9.17","13.21","9.81","15.3","32.3","57","0.352941176","0.143478261","0.268421053","4.384615385","2.192307692","2.615384615","1.307692308","1.176923077","0.588461538","1.307692308","0.653846154","59.64912281","47.36842105","50","17.09401709","34.18803419","21.79487179","43.58974359","24.21652422","48.43304843","46.01139601","92.02279202"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00120","","","","26","25","2","1","22","22","57","81","10","4","25","6","5","1","1","6","5","3","2.39","1.62","0.92","46.6983147","40.13","9.03","13.08","19.78","14","39","138","0.175438596","0.049382716","0.101449275","6.272727273","5.307692308","2.590909091","2.192307692","0.636363636","0.538461538","1.136363636","0.961538462","41.30434783","35.8974359","84.61538462","14.24501425","16.83501684","19.94301994","23.56902357","35.61253561","42.08754209","55.55555556","65.65656566"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00121","","","","26","23","1","1","18","18","47","93","14","6","17","3","4","1","3","5","9","5","3.29","2","1.17","30.5894489","52.71","8.78","13.2","7.9","20","37","140","0.29787234","0.064516129","0.142857143","7.777777778","5.384615385","2.611111111","1.807692308","1.111111111","0.769230769","0.944444444","0.653846154","33.57142857","54.05405405","69.23076923","19.94301994","28.80658436","28.49002849","41.15226337","24.21652422","34.97942387","52.70655271","76.13168724"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00122","","","","26","24","1","1","24","24","89","100","20","8.2","7","1","3","1","1","3","7","5","2.15","1.62","0.91","23.8533249","55.44","8.59","11.7","5.11","28.2","35.2","189","0.224719101","0.082","0.149206349","7.875","7.269230769","3.708333333","3.423076923","1.175","1.084615385","0.291666667","0.269230769","47.08994709","80.11363636","92.30769231","28.49002849","30.86419753","40.17094017","43.51851852","9.971509972","10.80246914","50.14245014","54.32098765"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00123","","","","26","18","1","1","18","18","59","68","22","3.4","23","6","6","3","3","5","7","5","2.17","1.4","0.95","49.9450226","51.62","11.18","15.73","4.8","25.4","48.4","127","0.372881356","0.05","0.2","7.055555556","4.884615385","3.277777778","2.269230769","1.411111111","0.976923077","1.277777778","0.884615385","46.45669291","52.47933884","69.23076923","31.33903134","45.26748971","36.18233618","52.26337449","32.76353276","47.32510288","68.94586895","99.58847737"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00124","","","","26","20","1","1","20","20","77","45","21","2","14","3","3","2","2","3","7","5","2.56","1.67","1.12","13.5563793","49.26","6.46","9.35","16.06","23","37","122","0.272727273","0.044444444","0.18852459","6.1","4.692307692","3.85","2.961538462","1.15","0.884615385","0.7","0.538461538","63.1147541","62.16216216","76.92307692","29.91452991","38.88888889","32.76353276","42.59259259","19.94301994","25.92592593","52.70655271","68.51851852"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00125","","","","26","22","1","1","14","13","30","28","5.2","1.4","21","5","5","3","1","5","6","4","","","","","","","","","6.6","27.6","58","0.173333333","0.05","0.113793103","4.142857143","2.230769231","2.142857143","1.153846154","0.471428571","0.253846154","1.5","0.807692308","51.72413793","23.91304348","53.84615385","7.407407407","13.75661376","9.401709402","17.46031746","29.91452991","55.55555556","39.31623932","73.01587302"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00126","","","","26","24","2","3","20","19","52","71","13","6","16","3","3","2","3","6","6","1","3.09","1.55","0.82","17.5820293","59.54","9.23","12.89","","19","35","123","0.25","0.084507042","0.154471545","6.15","4.730769231","2.6","2","0.95","0.730769231","0.8","0.615384615","42.27642276","54.28571429","76.92307692","18.51851852","24.07407407","27.06552707","35.18518519","22.79202279","29.62962963","49.85754986","64.81481481"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00127","","","","26","20","2","1","17","17","72","36","21","2.2","11","1","3","3","1","7","5","3","2.46","1.71","0.75","30.6458759","49.41","13.15","18.49","0.86","23.2","34.2","108","0.291666667","0.061111111","0.214814815","6.352941176","4.153846154","4.235294118","2.769230769","1.364705882","0.892307692","0.647058824","0.423076923","66.66666667","67.83625731","65.38461538","29.91452991","45.75163399","33.04843305","50.54466231","15.66951567","23.96514161","48.71794872","74.50980392"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00128","","","","26","19","1","1","13","12","34","40","10","4","23","5","5","1","1","6","8","3","3.28","1.5","0.98","32.5337601","67.01","2.81","4.57","5.95","14","37","74","0.294117647","0.1","0.189189189","5.692307692","2.846153846","2.615384615","1.307692308","1.076923077","0.538461538","1.769230769","0.884615385","45.94594595","37.83783784","50","14.24501425","28.49002849","19.94301994","39.88603989","32.76353276","65.52706553","52.70655271","105.4131054"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00129","","","","26","8","2","1","1","1","1","0","0.2","0","2","3","3","1","1","7","7","1","2.9","1.83","0.9","109.762207","49.17","8.38","11.71","10.23","0.2","2.2","1","0.2","","0.2","1","0.038461538","1","0.038461538","0.2","0.007692308","2","0.076923077","100","9.090909091","3.846153846","0.284900285","7.407407407","0.284900285","7.407407407","2.849002849","74.07407407","3.133903134","81.48148148"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00130","","","","26","20","1","1","19","19","71","32","13","1.2","20","6","7","3","1","7","5","1","1.74","2.03","1.07","43.549675","37.35","12.24","16.81","13","14.2","34.2","103","0.183098592","0.0375","0.137864078","5.421052632","3.961538462","3.736842105","2.730769231","0.747368421","0.546153846","1.052631579","0.769230769","68.93203883","41.52046784","73.07692308","18.51851852","25.3411306","20.22792023","27.68031189","28.49002849","38.98635478","48.71794872","66.66666667"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00131","","","","26","24","2","1","21","21","42","67","17","9","19","5","6","1","3","3","8","5","2.37","1.47","1.11","20.813633","69.08","2.8","4.29","4.66","26","45","109","0.404761905","0.134328358","0.23853211","5.19047619","4.192307692","2","1.615384615","1.238095238","1","0.904761905","0.730769231","38.53211009","57.77777778","80.76923077","24.21652422","29.98236332","37.03703704","45.85537919","27.06552707","33.50970018","64.1025641","79.36507937"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00132","","","","26","17","1","1","17","17","35","105","8","8.4","16","5","5","1","1","9","5","1","2.85","2.29","1.21","45.6234512","27.38","10.53","15.18","26.34","16.4","32.4","140","0.228571429","0.08","0.117142857","8.235294118","5.384615385","2.058823529","1.346153846","0.964705882","0.630769231","0.941176471","0.615384615","25","50.61728395","65.38461538","11.3960114","17.4291939","23.36182336","35.72984749","22.79202279","34.8583878","46.15384615","70.58823529"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00133","","","","26","23","1","1","20","20","136","81","37","3.2","32","3","5","1","1","3","9","5","4.04","1.82","1.38","24.0617104","58.41","4.04","6.38","10.15","40.2","72.2","217","0.272058824","0.039506173","0.185253456","10.85","8.346153846","6.8","5.230769231","2.01","1.546153846","1.6","1.230769231","62.67281106","55.67867036","76.92307692","52.70655271","68.51851852","57.26495726","74.44444444","45.58404558","59.25925926","102.8490028","133.7037037"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00134","","","","26","21","1","1","21","21","22","135","9","25","22","3","3","5","3","6","7","4","","","","","","","","","34","56","157","0.409090909","0.185185185","0.21656051","7.476190476","6.038461538","1.047619048","0.846153846","1.619047619","1.307692308","1.047619048","0.846153846","14.01273885","60.71428571","80.76923077","12.82051282","15.87301587","48.43304843","59.96472663","31.33903134","38.80070547","79.77207977","98.7654321"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00135","","","","26","19","2","1","14","14","47","33","16","2","21","3","5","3","1","6","5","5","2.13","1.42","0.84","40.5995827","50.71","6.75","9.74","14.77","18","39","80","0.340425532","0.060606061","0.225","5.714285714","3.076923077","3.357142857","1.807692308","1.285714286","0.692307692","1.5","0.807692308","58.75","46.15384615","53.84615385","22.79202279","42.32804233","25.64102564","47.61904762","29.91452991","55.55555556","55.55555556","103.1746032"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00136","","","","26","19","1","1","19","19","41","125","8","10","22","5","7","3","1","6","6","3","2.26","1.42","0.9","37.3192139","47.28","8.71","12.68","15.25","18","40","166","0.195121951","0.08","0.108433735","8.736842105","6.384615385","2.157894737","1.576923077","0.947368421","0.692307692","1.157894737","0.846153846","24.69879518","45","73.07692308","11.3960114","15.59454191","25.64102564","35.0877193","31.33903134","42.88499025","56.98005698","77.97270955"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00137","","","","26","20","1","1","20","20","81","69","28","3.3","27","3","3","2","3","3","6","5","2.28","1.11","0.91","38.1289406","70.01","3.39","5.41","5.55","31.3","58.3","150","0.345679012","0.047826087","0.208666667","7.5","5.769230769","4.05","3.115384615","1.565","1.203846154","1.35","1.038461538","54","53.68782161","76.92307692","39.88603989","51.85185185","44.58689459","57.96296296","38.46153846","50","83.04843305","107.962963"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00138","","","","26","22","2","1","18","18","18","68","3.2","9","6","5","5","6","1","9","7","1","2.84","1.45","0.9","6.4739184","64.51","5.26","7.8","5.48","12.2","18.2","86","0.177777778","0.132352941","0.141860465","4.777777778","3.307692308","1","0.692307692","0.677777778","0.469230769","0.333333333","0.230769231","20.93023256","67.03296703","69.23076923","4.558404558","6.58436214","17.37891738","25.10288066","8.547008547","12.34567901","25.92592593","37.44855967"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00139","","","","26","23","1","2","22","22","26","142","8","19","12","5","5","5","1","7","8","1","2.54","1.4","0.94","10.2496681","68.06","4.37","6.48","2.38","27","39","168","0.307692308","0.133802817","0.160714286","7.636363636","6.461538462","1.181818182","1","1.227272727","1.038461538","0.545454545","0.461538462","15.47619048","69.23076923","84.61538462","11.3960114","13.46801347","38.46153846","45.45454545","17.09401709","20.2020202","55.55555556","65.65656566"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00140","","","","26","21","1","1","10","10","13","43","3","3.4","20","4","6","3","2","3","8","5","3.24","1.9","1.25","33.4008293","60.68","4.29","7.16","9.17","6.4","26.4","56","0.230769231","0.079069767","0.114285714","5.6","2.153846154","1.3","0.5","0.64","0.246153846","2","0.769230769","23.21428571","24.24242424","38.46153846","4.273504274","11.11111111","9.116809117","23.7037037","28.49002849","74.07407407","37.60683761","97.77777778"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00141","","","","26","10","1","3","5","5","4","7","1.2","2.1","0.2","1","1","3","1","7","5","1","2.1","1.24","0.61","21.352726","45.37","12.26","16.63","9.91","3.3","3.5","11","0.3","0.3","0.3","2.2","0.423076923","0.8","0.153846154","0.66","0.126923077","0.04","0.007692308","36.36363636","94.28571429","19.23076923","1.709401709","8.888888889","4.700854701","24.44444444","0.284900285","1.481481481","4.985754986","25.92592593"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00142","","","","26","20","1","1","14","14","17","90","5.1","3","14","3","3","8","3","5","5","5","2.85","1.49","0.84","80.5503387","54.47","7.6","10.76","9.46","8.1","22.1","107","0.3","0.033333333","0.075700935","7.642857143","4.115384615","1.214285714","0.653846154","0.578571429","0.311538462","1","0.538461538","15.88785047","36.65158371","53.84615385","7.264957265","13.49206349","11.53846154","21.42857143","19.94301994","37.03703704","31.48148148","58.46560847"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00143","","","","26","20","1","1","20","20","47","70","11","3","22","3","3","4","1","6","5","4","2.19","1.65","0.88","20.3792419","54.23","7.5","9.86","8.9","14","36","117","0.234042553","0.042857143","0.11965812","5.85","4.5","2.35","1.807692308","0.7","0.538461538","1.1","0.846153846","40.17094017","38.88888889","76.92307692","15.66951567","20.37037037","19.94301994","25.92592593","31.33903134","40.74074074","51.28205128","66.66666667"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00144","","","","26","21","1","1","2","1","0","3","0","0.4","12","5","5","3","1","7","3","1","","","","","","","","","0.4","12.4","3","","0.133333333","0.133333333","1.5","0.115384615","0","0","0.2","0.015384615","6","0.461538462","0","3.225806452","7.692307692","0","0","0.56980057","7.407407407","17.09401709","222.2222222","17.66381766","229.6296296"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00145","","","","26","26","1","1","7","7","10","55","2.2","7.1","8","1","3","4","3","8","6","3","1.89","1.43","0.77","30.152916","47.89","10.71","14.89","11.18","9.3","17.3","65","0.22","0.129090909","0.143076923","9.285714286","2.5","1.428571429","0.384615385","1.328571429","0.357692308","1.142857143","0.307692308","15.38461538","53.75722543","26.92307692","3.133903134","11.64021164","13.24786325","49.20634921","11.3960114","42.32804233","24.64387464","91.53439153"
"","","MZP2012UMB-AT03","","","","","","","","","MZP2012UMB-AT03-00146","","","","26","7","1","1","2","2","9","12","0.4","0.2","3","4","4","1","1","9","4","3","2","1.65","0.72","24.7656136","46.81","12.78","17.49","4.82","0.6","3.6","21","0.044444444","0.016666667","0.028571429","10.5","0.807692308","4.5","0.346153846","0.3","0.023076923","1.5","0.115384615","42.85714286","16.66666667","7.692307692","0.56980057","7.407407407","0.854700855","11.11111111","4.273504274","55.55555556","5.128205128","66.66666667"
