"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004 "
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00511","","","","10","10","2","1","1","6","5","6","14","12","0.34","1","4.5","1.65","1.34","5.84","26","0.083333333","0.024285714","0.051538462","4.333333333","2.6","2","1.2","0.223333333","0.134","0.75","0.45","46.15384615","22.94520548","60","3.333333333","4.466666667","15","19.46666667","5.555555556","7.444444444","25","32.44444444"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01632","","","","10","7","7","2","2","4","2","7","23","9","0.4","0.28","4","1.65","0.68","4.68","32","0.031111111","0.017391304","0.02125","4.571428571","3.2","1.285714286","0.9","0.097142857","0.068","0.571428571","0.4","28.125","14.52991453","70","0.933333333","2.266666667","13.33333333","15.6","1.333333333","3.238095238","19.04761905","22.28571429"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00599","","","","10","10","5","1","1","4","3","6","25","5","1.28","1.2","1.3","10.5","2.48","3.78","30","0.24","0.0512","0.082666667","5","3","0.833333333","0.5","0.413333333","0.248","0.216666667","0.13","16.66666667","65.60846561","60","4","8.266666667","4.333333333","12.6","6.666666667","13.77777778","7.222222222","21"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00464","","","","10","10","2","2","1","7","2","10","67","11","1.4","0.74","4","0","2.14","6.14","78","0.067272727","0.020895522","0.027435897","7.8","7.8","1.1","1.1","0.214","0.214","0.4","0.4","14.1025641","34.8534202","100","2.466666667","7.133333333","13.33333333","20.46666667","2.466666667","7.133333333","13.33333333","20.46666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-02055","","","","10","10","7","4","2","4","2","8","23","11","0.6","1.4","2","14.37","2","4","34","0.127272727","0.026086957","0.058823529","4.25","3.4","1.375","1.1","0.25","0.2","0.25","0.2","32.35294118","50","80","4.666666667","6.666666667","6.666666667","13.33333333","5.833333333","8.333333333","8.333333333","16.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00755","","","","10","7","4","2","1","4","2","7","32","10","0.54","0.48","0.8","6.12","1.02","1.82","42","0.048","0.016875","0.024285714","6","4.2","1.428571429","1","0.145714286","0.102","0.114285714","0.08","23.80952381","56.04395604","70","1.6","3.4","2.666666667","6.066666667","2.285714286","4.857142857","3.80952381","8.666666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01017","","","","10","10","5","2","1","2","2","7","11","5","0.24","0.4","5.9","0.02","0.64","6.54","16","0.08","0.021818182","0.04","2.285714286","1.6","0.714285714","0.5","0.091428571","0.064","0.842857143","0.59","31.25","9.785932722","70","1.333333333","2.133333333","19.66666667","21.8","1.904761905","3.047619048","28.0952381","31.14285714"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01026","","","","10","10","8","2","1","4","4","10","36","12","1.2","1.3","2","0.69","2.5","4.5","48","0.108333333","0.033333333","0.052083333","4.8","4.8","1.2","1.2","0.25","0.25","0.2","0.2","25","55.55555556","100","4.333333333","8.333333333","6.666666667","15","4.333333333","8.333333333","6.666666667","15"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01532","","","","10","10","8","3","2","3","2","10","22","7","0.56","1.4","3","3.03","1.96","4.96","29","0.2","0.025454545","0.067586207","2.9","2.9","0.7","0.7","0.196","0.196","0.3","0.3","24.13793103","39.51612903","100","4.666666667","6.533333333","10","16.53333333","4.666666667","6.533333333","10","16.53333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00774","","","","10","10","2","1","1","5","2","9","4","9","0.1","1.2","3.1","6.12","1.3","4.4","13","0.133333333","0.025","0.1","1.444444444","1.3","1","0.9","0.144444444","0.13","0.344444444","0.31","69.23076923","29.54545455","90","4","4.333333333","10.33333333","14.66666667","4.444444444","4.814814815","11.48148148","16.2962963"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01351","","","","10","10","6","3","1","3","2","10","48","9","1.2","2","1.3","1.38","3.2","4.5","57","0.222222222","0.025","0.056140351","5.7","5.7","0.9","0.9","0.32","0.32","0.13","0.13","15.78947368","71.11111111","100","6.666666667","10.66666667","4.333333333","15","6.666666667","10.66666667","4.333333333","15"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01444","","","","10","9","8","2","1","4","1","8","13","24","0.6","3.5","9","11.03","4.1","13.1","37","0.145833333","0.046153846","0.110810811","4.625","3.7","3","2.4","0.5125","0.41","1.125","0.9","64.86486486","31.29770992","80","11.66666667","13.66666667","30","43.66666667","14.58333333","17.08333333","37.5","54.58333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01989","","","","10","10","7","3","2","4","3","10","10","7","0.9","0.6","1","0.02","1.5","2.5","17","0.085714286","0.09","0.088235294","1.7","1.7","0.7","0.7","0.15","0.15","0.1","0.1","41.17647059","60","100","2","5","3.333333333","8.333333333","2","5","3.333333333","8.333333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01160","","","","10","9","7","7","1","4","1","8","35","19","1","1.9","2.4","7.76","2.9","5.3","54","0.1","0.028571429","0.053703704","6.75","5.4","2.375","1.9","0.3625","0.29","0.3","0.24","35.18518519","54.71698113","80","6.333333333","9.666666667","8","17.66666667","7.916666667","12.08333333","10","22.08333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00575","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01679","","","","10","10","7","2","2","4","2","9","48","15","0.8","1.6","2","4.61","2.4","4.4","63","0.106666667","0.016666667","0.038095238","7","6.3","1.666666667","1.5","0.266666667","0.24","0.222222222","0.2","23.80952381","54.54545455","90","5.333333333","8","6.666666667","14.66666667","5.925925926","8.888888889","7.407407407","16.2962963"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00201","","","","10","10","2","3","1","7","3","8","32","6","0.6","1","3.5","1.38","1.6","5.1","38","0.166666667","0.01875","0.042105263","4.75","3.8","0.75","0.6","0.2","0.16","0.4375","0.35","15.78947368","31.37254902","80","3.333333333","5.333333333","11.66666667","17","4.166666667","6.666666667","14.58333333","21.25"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00931","","","","10","10","2","2","1","6","1","10","20","10","0.6","0.7","3.4","5.46","1.3","4.7","30","0.07","0.03","0.043333333","3","3","1","1","0.13","0.13","0.34","0.34","33.33333333","27.65957447","100","2.333333333","4.333333333","11.33333333","15.66666667","2.333333333","4.333333333","11.33333333","15.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01036","","","","10","10","5","2","2","3","2","10","0","4","0","0.5","4.6","0","0.5","5.1","4","0.125","","0.125","0.4","0.4","0.4","0.4","0.05","0.05","0.46","0.46","100","9.803921569","100","1.666666667","1.666666667","15.33333333","17","1.666666667","1.666666667","15.33333333","17"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01276","","","","10","10","7","3","1","2","2","8","14","9","0.4","1.5","4.9","0.12","1.9","6.8","23","0.166666667","0.028571429","0.082608696","2.875","2.3","1.125","0.9","0.2375","0.19","0.6125","0.49","39.13043478","27.94117647","80","5","6.333333333","16.33333333","22.66666667","6.25","7.916666667","20.41666667","28.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00305","","","","10","10","6","2","1","4","2","8","12","3","0.3","0.24","5.4","3.96","0.54","5.94","15","0.08","0.025","0.036","1.875","1.5","0.375","0.3","0.0675","0.054","0.675","0.54","20","9.090909091","80","0.8","1.8","18","19.8","1","2.25","22.5","24.75"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01653","","","","10","10","8","2","1","5","2","10","24","26","0.68","4","8","1.38","4.68","12.68","50","0.153846154","0.028333333","0.0936","5","5","2.6","2.6","0.468","0.468","0.8","0.8","52","36.90851735","100","13.33333333","15.6","26.66666667","42.26666667","13.33333333","15.6","26.66666667","42.26666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00732","","","","10","10","3","1","1","3","2","10","19","6","0.4","1","8.2","0","1.4","9.6","25","0.166666667","0.021052632","0.056","2.5","2.5","0.6","0.6","0.14","0.14","0.82","0.82","24","14.58333333","100","3.333333333","4.666666667","27.33333333","32","3.333333333","4.666666667","27.33333333","32"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01461","","","","10","9","8","3","1","4","1","9","23","18","1","2","3","1.74","3","6","41","0.111111111","0.043478261","0.073170732","4.555555556","4.1","2","1.8","0.333333333","0.3","0.333333333","0.3","43.90243902","50","90","6.666666667","10","10","20","7.407407407","11.11111111","11.11111111","22.22222222"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01590","","","","10","10","6","2","2","4","2","10","7","3","0.2","0.3","2.5","6.12","0.5","3","10","0.1","0.028571429","0.05","1","1","0.3","0.3","0.05","0.05","0.25","0.25","30","16.66666667","100","1","1.666666667","8.333333333","10","1","1.666666667","8.333333333","10"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00895","","","","10","10","2","1","1","2","2","10","24","14","0.6","2.4","2.2","4.61","3","5.2","38","0.171428571","0.025","0.078947368","3.8","3.8","1.4","1.4","0.3","0.3","0.22","0.22","36.84210526","57.69230769","100","8","10","7.333333333","17.33333333","8","10","7.333333333","17.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00173","","","","10","9","5","1","1","7","2","9","9","1","0.08","0.4","5.2","3.76","0.48","5.68","10","0.4","0.008888889","0.048","1.111111111","1","0.111111111","0.1","0.053333333","0.048","0.577777778","0.52","10","8.450704225","90","1.333333333","1.6","17.33333333","18.93333333","1.481481481","1.777777778","19.25925926","21.03703704"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01100","","","","10","9","8","5","1","4","1","8","13","10","0.8","1.6","2.7","1.38","2.4","5.1","23","0.16","0.061538462","0.104347826","2.875","2.3","1.25","1","0.3","0.24","0.3375","0.27","43.47826087","47.05882353","80","5.333333333","8","9","17","6.666666667","10","11.25","21.25"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01275","","","","10","10","6","2","1","3","2","9","8","5","0.12","0.3","2","0.02","0.42","2.42","13","0.06","0.015","0.032307692","1.444444444","1.3","0.555555556","0.5","0.046666667","0.042","0.222222222","0.2","38.46153846","17.3553719","90","1","1.4","6.666666667","8.066666667","1.111111111","1.555555556","7.407407407","8.962962963"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00028","","","","10","8","2","1","1","4","2","7","56","14","1","1.6","10.2","1.38","2.6","12.8","70","0.114285714","0.017857143","0.037142857","10","7","2","1.4","0.371428571","0.26","1.457142857","1.02","20","20.3125","70","5.333333333","8.666666667","34","42.66666667","7.619047619","12.38095238","48.57142857","60.95238095"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00708","","","","10","10","4","1","2","4","4","10","7","15","0.16","2","1.3","12.39","2.16","3.46","22","0.133333333","0.022857143","0.098181818","2.2","2.2","1.5","1.5","0.216","0.216","0.13","0.13","68.18181818","62.42774566","100","6.666666667","7.2","4.333333333","11.53333333","6.666666667","7.2","4.333333333","11.53333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00765","","","","10","8","6","2","1","3","2","7","5","6","0.07","1","1.1","14.37","1.07","2.17","11","0.166666667","0.014","0.097272727","1.571428571","1.1","0.857142857","0.6","0.152857143","0.107","0.157142857","0.11","54.54545455","49.30875576","70","3.333333333","3.566666667","3.666666667","7.233333333","4.761904762","5.095238095","5.238095238","10.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00992","","","","10","10","2","1","1","4","2","10","12","5","0.24","0.36","3.4","0.12","0.6","4","17","0.072","0.02","0.035294118","1.7","1.7","0.5","0.5","0.06","0.06","0.34","0.34","29.41176471","15","100","1.2","2","11.33333333","13.33333333","1.2","2","11.33333333","13.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01205","","","","10","10","8","3","1","2","5","9","14","6","0.34","1.2","2.5","4.61","1.54","4.04","20","0.2","0.024285714","0.077","2.222222222","2","0.666666667","0.6","0.171111111","0.154","0.277777778","0.25","30","38.11881188","90","4","5.133333333","8.333333333","13.46666667","4.444444444","5.703703704","9.259259259","14.96296296"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00444","","","","10","10","2","1","1","3","2","10","13","24","0.5","6","4.4","10.5","6.5","10.9","37","0.25","0.038461538","0.175675676","3.7","3.7","2.4","2.4","0.65","0.65","0.44","0.44","64.86486486","59.63302752","100","20","21.66666667","14.66666667","36.33333333","20","21.66666667","14.66666667","36.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01633","","","","10","9","7","3","2","5","1","8","11","4","0.3","0.24","1.5","5.46","0.54","2.04","15","0.06","0.027272727","0.036","1.875","1.5","0.5","0.4","0.0675","0.054","0.1875","0.15","26.66666667","26.47058824","80","0.8","1.8","5","6.8","1","2.25","6.25","8.5"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01028","","","","10","10","6","2","1","4","4","10","20","6","0.3","0.8","1.4","5.49","1.1","2.5","26","0.133333333","0.015","0.042307692","2.6","2.6","0.6","0.6","0.11","0.11","0.14","0.14","23.07692308","44","100","2.666666667","3.666666667","4.666666667","8.333333333","2.666666667","3.666666667","4.666666667","8.333333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01386","","","","10","9","5","2","2","3","2","8","11","4","0.2","0.3","1","1.74","0.5","1.5","15","0.075","0.018181818","0.033333333","1.875","1.5","0.5","0.4","0.0625","0.05","0.125","0.1","26.66666667","33.33333333","80","1","1.666666667","3.333333333","5","1.25","2.083333333","4.166666667","6.25"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00595","","","","10","10","4","1","1","3","2","10","14","6","0.23","2","1.4","0.02","2.23","3.63","20","0.333333333","0.016428571","0.1115","2","2","0.6","0.6","0.223","0.223","0.14","0.14","30","61.43250689","100","6.666666667","7.433333333","4.666666667","12.1","6.666666667","7.433333333","4.666666667","12.1"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00925","","","","10","10","4","1","1","4","4","10","21","7","0.4","0.8","2.5","11.03","1.2","3.7","28","0.114285714","0.019047619","0.042857143","2.8","2.8","0.7","0.7","0.12","0.12","0.25","0.25","25","32.43243243","100","2.666666667","4","8.333333333","12.33333333","2.666666667","4","8.333333333","12.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01321","","","","10","10","8","4","1","2","8","9","10","7","0.24","0.5","2.8","7.23","0.74","3.54","17","0.071428571","0.024","0.043529412","1.888888889","1.7","0.777777778","0.7","0.082222222","0.074","0.311111111","0.28","41.17647059","20.9039548","90","1.666666667","2.466666667","9.333333333","11.8","1.851851852","2.740740741","10.37037037","13.11111111"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00163","","","","10","10","7","1","1","6","3","8","28","23","0.6","5.2","2.3","12.39","5.8","8.1","51","0.226086957","0.021428571","0.11372549","6.375","5.1","2.875","2.3","0.725","0.58","0.2875","0.23","45.09803922","71.60493827","80","17.33333333","19.33333333","7.666666667","27","21.66666667","24.16666667","9.583333333","33.75"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01988","","","","10","10","6","3","1","4","1","10","13","5","0.25","0.54","4.5","7.76","0.79","5.29","18","0.108","0.019230769","0.043888889","1.8","1.8","0.5","0.5","0.079","0.079","0.45","0.45","27.77777778","14.93383743","100","1.8","2.633333333","15","17.63333333","1.8","2.633333333","15","17.63333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00918","","","","10","10","5","1","1","4","4","10","10","15","0.28","1.2","1","1.32","1.48","2.48","25","0.08","0.028","0.0592","2.5","2.5","1.5","1.5","0.148","0.148","0.1","0.1","60","59.67741935","100","4","4.933333333","3.333333333","8.266666667","4","4.933333333","3.333333333","8.266666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00020","","","","10","9","4","1","1","5","3","9","15","20","0.4","6.2","2.9","1.32","6.6","9.5","35","0.31","0.026666667","0.188571429","3.888888889","3.5","2.222222222","2","0.733333333","0.66","0.322222222","0.29","57.14285714","69.47368421","90","20.66666667","22","9.666666667","31.66666667","22.96296296","24.44444444","10.74074074","35.18518519"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01030","","","","10","0","","","","","","0","0","0","0","0","0","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00613","","","","10","10","5","1","1","6","4","9","15","4","0.3","1.2","3","0.02","1.5","4.5","19","0.3","0.02","0.078947368","2.111111111","1.9","0.444444444","0.4","0.166666667","0.15","0.333333333","0.3","21.05263158","33.33333333","90","4","5","10","15","4.444444444","5.555555556","11.11111111","16.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00824","","","","10","10","5","1","1","3","1","8","7","8","0.2","1","2.3","1.76","1.2","3.5","15","0.125","0.028571429","0.08","1.875","1.5","1","0.8","0.15","0.12","0.2875","0.23","53.33333333","34.28571429","80","3.333333333","4","7.666666667","11.66666667","4.166666667","5","9.583333333","14.58333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01364","","","","10","10","7","2","2","3","1","8","41","10","1.2","1.4","2.5","1.65","2.6","5.1","51","0.14","0.029268293","0.050980392","6.375","5.1","1.25","1","0.325","0.26","0.3125","0.25","19.60784314","50.98039216","80","4.666666667","8.666666667","8.333333333","17","5.833333333","10.83333333","10.41666667","21.25"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00463","","","","10","9","5","1","1","3","4","9","36","19","0.7","1.8","1.8","3.96","2.5","4.3","55","0.094736842","0.019444444","0.045454545","6.111111111","5.5","2.111111111","1.9","0.277777778","0.25","0.2","0.18","34.54545455","58.13953488","90","6","8.333333333","6","14.33333333","6.666666667","9.259259259","6.666666667","15.92592593"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01889","","","","10","7","7","2","2","3","2","7","9","12","0.28","1.6","1","0","1.88","2.88","21","0.133333333","0.031111111","0.08952381","3","2.1","1.714285714","1.2","0.268571429","0.188","0.142857143","0.1","57.14285714","65.27777778","70","5.333333333","6.266666667","3.333333333","9.6","7.619047619","8.952380952","4.761904762","13.71428571"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00086","","","","10","10","3","2","2","6","2","9","3","3","0.12","1.01","5.4","0","1.13","6.53","6","0.336666667","0.04","0.188333333","0.666666667","0.6","0.333333333","0.3","0.125555556","0.113","0.6","0.54","50","17.30474732","90","3.366666667","3.766666667","18","21.76666667","3.740740741","4.185185185","20","24.18518519"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01119","","","","10","10","8","3","2","4","1","10","13","9","0.4","4.6","5.2","0.02","5","10.2","22","0.511111111","0.030769231","0.227272727","2.2","2.2","0.9","0.9","0.5","0.5","0.52","0.52","40.90909091","49.01960784","100","15.33333333","16.66666667","17.33333333","34","15.33333333","16.66666667","17.33333333","34"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00842","","","","10","10","3","3","1","8","3","10","6","3","0.5","0.16","2.5","7.23","0.66","3.16","9","0.053333333","0.083333333","0.073333333","0.9","0.9","0.3","0.3","0.066","0.066","0.25","0.25","33.33333333","20.88607595","100","0.533333333","2.2","8.333333333","10.53333333","0.533333333","2.2","8.333333333","10.53333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00894","","","","10","10","3","3","1","5","3","10","30","18","1","2","3.2","11.03","3","6.2","48","0.111111111","0.033333333","0.0625","4.8","4.8","1.8","1.8","0.3","0.3","0.32","0.32","37.5","48.38709677","100","6.666666667","10","10.66666667","20.66666667","6.666666667","10","10.66666667","20.66666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00473","","","","10","10","4","1","1","3","1","10","3","12","0.1","2.6","2.5","0","2.7","5.2","15","0.216666667","0.033333333","0.18","1.5","1.5","1.2","1.2","0.27","0.27","0.25","0.25","80","51.92307692","100","8.666666667","9","8.333333333","17.33333333","8.666666667","9","8.333333333","17.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01982","","","","10","9","8","5","2","5","2","9","30","5","1.2","0.9","2.5","6.12","2.1","4.6","35","0.18","0.04","0.06","3.888888889","3.5","0.555555556","0.5","0.233333333","0.21","0.277777778","0.25","14.28571429","45.65217391","90","3","7","8.333333333","15.33333333","3.333333333","7.777777778","9.259259259","17.03703704"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01114","","","","10","10","8","3","1","3","1","10","5","23","0.2","4.6","4","0.02","4.8","8.8","28","0.2","0.04","0.171428571","2.8","2.8","2.3","2.3","0.48","0.48","0.4","0.4","82.14285714","54.54545455","100","15.33333333","16","13.33333333","29.33333333","15.33333333","16","13.33333333","29.33333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00597","","","","10","10","2","2","1","5","3","10","18","14","0.2","6.3","4","10.5","6.5","10.5","32","0.45","0.011111111","0.203125","3.2","3.2","1.4","1.4","0.65","0.65","0.4","0.4","43.75","61.9047619","100","21","21.66666667","13.33333333","35","21","21.66666667","13.33333333","35"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00422","","","","10","10","4","1","1","5","1","10","16","8","0.36","2.1","8","10.5","2.46","10.46","24","0.2625","0.0225","0.1025","2.4","2.4","0.8","0.8","0.246","0.246","0.8","0.8","33.33333333","23.51816444","100","7","8.2","26.66666667","34.86666667","7","8.2","26.66666667","34.86666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00276","","","","10","10","1","3","1","6","2","9","26","21","0.8","4.6","5","10.5","5.4","10.4","47","0.219047619","0.030769231","0.114893617","5.222222222","4.7","2.333333333","2.1","0.6","0.54","0.555555556","0.5","44.68085106","51.92307692","90","15.33333333","18","16.66666667","34.66666667","17.03703704","20","18.51851852","38.51851852"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00519","","","","10","10","5","1","1","4","4","7","9","13","0.16","1","1","0.15","1.16","2.16","22","0.076923077","0.017777778","0.052727273","3.142857143","2.2","1.857142857","1.3","0.165714286","0.116","0.142857143","0.1","59.09090909","53.7037037","70","3.333333333","3.866666667","3.333333333","7.2","4.761904762","5.523809524","4.761904762","10.28571429"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00256","","","","10","10","3","1","1","4","2","8","8","5","0.46","0.48","2.3","0.12","0.94","3.24","13","0.096","0.0575","0.072307692","1.625","1.3","0.625","0.5","0.1175","0.094","0.2875","0.23","38.46153846","29.01234568","80","1.6","3.133333333","7.666666667","10.8","2","3.916666667","9.583333333","13.5"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01460","","","","10","10","8","3","2","5","1","10","12","13","0.4","3","6.5","0.02","3.4","9.9","25","0.230769231","0.033333333","0.136","2.5","2.5","1.3","1.3","0.34","0.34","0.65","0.65","52","34.34343434","100","10","11.33333333","21.66666667","33","10","11.33333333","21.66666667","33"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00928","","","","10","10","3","1","1","5","3","10","13","13","0.24","1.7","3.8","10.5","1.94","5.74","26","0.130769231","0.018461538","0.074615385","2.6","2.6","1.3","1.3","0.194","0.194","0.38","0.38","50","33.79790941","100","5.666666667","6.466666667","12.66666667","19.13333333","5.666666667","6.466666667","12.66666667","19.13333333"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00279","","","","10","9","3","1","1","7","2","9","15","15","0.4","3.9","5.1","0.15","4.3","9.4","30","0.26","0.026666667","0.143333333","3.333333333","3","1.666666667","1.5","0.477777778","0.43","0.566666667","0.51","50","45.74468085","90","13","14.33333333","17","31.33333333","14.44444444","15.92592593","18.88888889","34.81481481"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-00297","","","","10","10","5","1","1","3","4","10","75","19","2","4.7","5.212","1.5","6.7","11.912","94","0.247368421","0.026666667","0.071276596","9.4","9.4","1.9","1.9","0.67","0.67","0.5212","0.5212","20.21276596","56.24580255","100","15.66666667","22.33333333","17.37333333","39.70666667","15.66666667","22.33333333","17.37333333","39.70666667"
"","","UGP2018NAM-OT07","","","","","","","","","UGP2018NAM-OT07-01418","","","","10","10","7","2","1","2","2","10","16","10","0.5","0.4","5","0.02","0.9","5.9","26","0.04","0.03125","0.034615385","2.6","2.6","1","1","0.09","0.09","0.5","0.5","38.46153846","15.25423729","100","1.333333333","3","16.66666667","19.66666667","1.333333333","3","16.66666667","19.66666667"
